county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Chatham,,State House,162,,ALICIA BLAKELY,790,660,14,116,0
Chatham,1-09 Immanuel Bapt Church,State House,162,,ALICIA BLAKELY,21,16,0,5,0
Chatham,5-01 Bartlett Middle Sch,State House,162,,ALICIA BLAKELY,27,21,0,6,0
Chatham,5-06 Wildwood United Meth,State House,162,,ALICIA BLAKELY,52,45,0,7,0
Chatham,5-07 Elks Lodge,State House,162,,ALICIA BLAKELY,56,50,1,5,0
Chatham,5-08 Savannah Primitive,State House,162,,ALICIA BLAKELY,69,60,1,8,0
Chatham,5-11 Largo-Tibet Elem,State House,162,,ALICIA BLAKELY,67,50,2,15,0
Chatham,6-01 White Bluff Pres Chr,State House,162,,ALICIA BLAKELY,61,55,0,6,0
Chatham,6-06 The Light,State House,162,,ALICIA BLAKELY,54,36,0,18,0
Chatham,6-08 Savannah Commons,State House,162,,ALICIA BLAKELY,66,56,0,10,0
Chatham,7-01 Garden City Senior Ctr,State House,162,,ALICIA BLAKELY,28,25,0,3,0
Chatham,7-05 Woodlawn Bapt Ch,State House,162,,ALICIA BLAKELY,25,23,0,2,0
Chatham,7-14 Coastal Cathedral,State House,162,,ALICIA BLAKELY,86,69,0,17,0
Chatham,8-03 Silk Hope Bapt Ch,State House,162,,ALICIA BLAKELY,17,13,0,4,0
Chatham,8-07 Woodville-Tompkins,State House,162,,ALICIA BLAKELY,17,14,0,3,0
Chatham,8-08 Resur Of Our Lord Ch,State House,162,,ALICIA BLAKELY,41,32,6,3,0
Chatham,8-09 Moses Jackson Ctr,State House,162,,ALICIA BLAKELY,35,34,0,1,0
Chatham,8-10 Carver Heights Comm Ctr,State House,162,,ALICIA BLAKELY,43,38,4,1,0
Chatham,8-13 Savannah Christ. Sch,State House,162,,ALICIA BLAKELY,6,5,0,1,0
Chatham,8-15 Garden City Rec Ctr,State House,162,,ALICIA BLAKELY,19,18,0,1,0
Chatham,,State House,162,,CARL GILLIARD,1270,1087,23,158,2
Chatham,1-09 Immanuel Bapt Church,State House,162,,CARL GILLIARD,23,12,0,11,0
Chatham,5-01 Bartlett Middle Sch,State House,162,,CARL GILLIARD,34,27,0,7,0
Chatham,5-06 Wildwood United Meth,State House,162,,CARL GILLIARD,72,60,0,12,0
Chatham,5-07 Elks Lodge,State House,162,,CARL GILLIARD,54,47,1,6,0
Chatham,5-08 Savannah Primitive,State House,162,,CARL GILLIARD,55,54,0,1,0
Chatham,5-11 Largo-Tibet Elem,State House,162,,CARL GILLIARD,101,77,1,21,2
Chatham,6-01 White Bluff Pres Chr,State House,162,,CARL GILLIARD,59,50,4,5,0
Chatham,6-06 The Light,State House,162,,CARL GILLIARD,68,47,0,21,0
Chatham,6-08 Savannah Commons,State House,162,,CARL GILLIARD,73,64,0,9,0
Chatham,7-01 Garden City Senior Ctr,State House,162,,CARL GILLIARD,114,103,3,8,0
Chatham,7-05 Woodlawn Bapt Ch,State House,162,,CARL GILLIARD,58,58,0,0,0
Chatham,7-14 Coastal Cathedral,State House,162,,CARL GILLIARD,164,133,0,31,0
Chatham,8-03 Silk Hope Bapt Ch,State House,162,,CARL GILLIARD,27,26,0,1,0
Chatham,8-07 Woodville-Tompkins,State House,162,,CARL GILLIARD,41,40,0,1,0
Chatham,8-08 Resur Of Our Lord Ch,State House,162,,CARL GILLIARD,83,77,3,3,0
Chatham,8-09 Moses Jackson Ctr,State House,162,,CARL GILLIARD,53,44,6,3,0
Chatham,8-10 Carver Heights Comm Ctr,State House,162,,CARL GILLIARD,73,64,2,7,0
Chatham,8-13 Savannah Christ. Sch,State House,162,,CARL GILLIARD,26,20,0,6,0
Chatham,8-15 Garden City Rec Ctr,State House,162,,CARL GILLIARD,92,84,3,5,0
Chatham,,State House,162,,JOSEY M. SHEPPARD,678,598,3,77,0
Chatham,1-09 Immanuel Bapt Church,State House,162,,JOSEY M. SHEPPARD,15,9,0,6,0
Chatham,5-01 Bartlett Middle Sch,State House,162,,JOSEY M. SHEPPARD,14,11,0,3,0
Chatham,5-06 Wildwood United Meth,State House,162,,JOSEY M. SHEPPARD,55,50,0,5,0
Chatham,5-07 Elks Lodge,State House,162,,JOSEY M. SHEPPARD,10,7,0,3,0
Chatham,5-08 Savannah Primitive,State House,162,,JOSEY M. SHEPPARD,30,28,0,2,0
Chatham,5-11 Largo-Tibet Elem,State House,162,,JOSEY M. SHEPPARD,35,32,1,2,0
Chatham,6-01 White Bluff Pres Chr,State House,162,,JOSEY M. SHEPPARD,25,18,0,7,0
Chatham,6-06 The Light,State House,162,,JOSEY M. SHEPPARD,36,25,0,11,0
Chatham,6-08 Savannah Commons,State House,162,,JOSEY M. SHEPPARD,31,30,0,1,0
Chatham,7-01 Garden City Senior Ctr,State House,162,,JOSEY M. SHEPPARD,44,34,2,8,0
Chatham,7-05 Woodlawn Bapt Ch,State House,162,,JOSEY M. SHEPPARD,27,23,0,4,0
Chatham,7-14 Coastal Cathedral,State House,162,,JOSEY M. SHEPPARD,67,58,0,9,0
Chatham,8-03 Silk Hope Bapt Ch,State House,162,,JOSEY M. SHEPPARD,15,14,0,1,0
Chatham,8-07 Woodville-Tompkins,State House,162,,JOSEY M. SHEPPARD,5,4,0,1,0
Chatham,8-08 Resur Of Our Lord Ch,State House,162,,JOSEY M. SHEPPARD,42,40,0,2,0
Chatham,8-09 Moses Jackson Ctr,State House,162,,JOSEY M. SHEPPARD,41,38,0,3,0
Chatham,8-10 Carver Heights Comm Ctr,State House,162,,JOSEY M. SHEPPARD,143,136,0,7,0
Chatham,8-13 Savannah Christ. Sch,State House,162,,JOSEY M. SHEPPARD,6,6,0,0,0
Chatham,8-15 Garden City Rec Ctr,State House,162,,JOSEY M. SHEPPARD,37,35,0,2,0
