county,precinct,office,district,party,candidate,absentee_by_mail_votes,advance_voting_votes,election_day_votes,provisional_votes,votes
Fayette,Blackrock,Ballots Cast,,,,,,,,1606
Fayette,Brooks,Ballots Cast,,,,,,,,1720
Fayette,Europe,Ballots Cast,,,,,,,,2090
Fayette,Fayetteville East,Ballots Cast,,,,,,,,1045
Fayette,Fayetteville West,Ballots Cast,,,,,,,,1139
Fayette,Flint,Ballots Cast,,,,,,,,996
Fayette,Hopeful,Ballots Cast,,,,,,,,1349
Fayette,Morning Creek,Ballots Cast,,,,,,,,1746
Fayette,Rareover,Ballots Cast,,,,,,,,1764
Fayette,Sandy Creek,Ballots Cast,,,,,,,,2813
Fayette,Shakerag East,Ballots Cast,,,,,,,,915
Fayette,Shakerag West,Ballots Cast,,,,,,,,745
Fayette,Starrs Mill,Ballots Cast,,,,,,,,2118
Fayette,Whitewater,Ballots Cast,,,,,,,,2147
Fayette,Woolsey,Ballots Cast,,,,,,,,1610
Fayette,McIntosh,Ballots Cast,,,,,,,,1958
Fayette,Oak Grove,Ballots Cast,,,,,,,,788
Fayette,Kedron,Ballots Cast,,,,,,,,3069
Fayette,Aberdeen,Ballots Cast,,,,,,,,1009
Fayette,Windgate,Ballots Cast,,,,,,,,594
Fayette,Flat Creek,Ballots Cast,,,,,,,,1113
Fayette,Braelinn,Ballots Cast,,,,,,,,1117
Fayette,Kenwood,Ballots Cast,,,,,,,,594
Fayette,Banks,Ballots Cast,,,,,,,,901
Fayette,Harps Crossing,Ballots Cast,,,,,,,,1051
Fayette,Willow Pond,Ballots Cast,,,,,,,,1800
Fayette,Dogwood,Ballots Cast,,,,,,,,2079
Fayette,Oak Ridge,Ballots Cast,,,,,,,,1309
Fayette,Jeff Davis,Ballots Cast,,,,,,,,1343
Fayette,Murphy,Ballots Cast,,,,,,,,1851
Fayette,Fielding Ridge,Ballots Cast,,,,,,,,2040
Fayette,Willowbend,Ballots Cast,,,,,,,,1100
Fayette,Camp Creek,Ballots Cast,,,,,,,,1111
Fayette,Rising Star,Ballots Cast,,,,,,,,2219
Fayette,Spring Hill,Ballots Cast,,,,,,,,1789
Fayette,Antioch,Ballots Cast,,,,,,,,1052
Fayette,Blackrock,U.S. Senate,,REP,Herschel Walker,31,169,204,0,404
Fayette,Brooks,U.S. Senate,,REP,Herschel Walker,38,227,1197,0,1462
Fayette,Europe,U.S. Senate,,REP,Herschel Walker,13,82,106,0,201
Fayette,Fayetteville East,U.S. Senate,,REP,Herschel Walker,27,162,178,0,367
Fayette,Fayetteville West,U.S. Senate,,REP,Herschel Walker,28,156,234,0,418
Fayette,Flint,U.S. Senate,,REP,Herschel Walker,8,93,211,0,312
Fayette,Hopeful,U.S. Senate,,REP,Herschel Walker,18,146,280,0,444
Fayette,Morning Creek,U.S. Senate,,REP,Herschel Walker,38,237,327,0,602
Fayette,Rareover,U.S. Senate,,REP,Herschel Walker,24,562,490,0,1076
Fayette,Sandy Creek,U.S. Senate,,REP,Herschel Walker,25,449,456,2,932
Fayette,Shakerag East,U.S. Senate,,REP,Herschel Walker,14,145,372,0,531
Fayette,Shakerag West,U.S. Senate,,REP,Herschel Walker,9,219,224,0,452
Fayette,Starrs Mill,U.S. Senate,,REP,Herschel Walker,79,473,1000,0,1552
Fayette,Whitewater,U.S. Senate,,REP,Herschel Walker,61,460,841,2,1364
Fayette,Woolsey,U.S. Senate,,REP,Herschel Walker,54,263,900,0,1217
Fayette,McIntosh,U.S. Senate,,REP,Herschel Walker,48,496,661,1,1206
Fayette,Oak Grove,U.S. Senate,,REP,Herschel Walker,11,130,302,0,443
Fayette,Kedron,U.S. Senate,,REP,Herschel Walker,29,666,868,0,1563
Fayette,Aberdeen,U.S. Senate,,REP,Herschel Walker,13,260,373,0,646
Fayette,Windgate,U.S. Senate,,REP,Herschel Walker,5,109,250,0,364
Fayette,Flat Creek,U.S. Senate,,REP,Herschel Walker,36,243,361,0,640
Fayette,Braelinn,U.S. Senate,,REP,Herschel Walker,24,278,510,0,812
Fayette,Kenwood,U.S. Senate,,REP,Herschel Walker,12,21,68,0,101
Fayette,Banks,U.S. Senate,,REP,Herschel Walker,29,133,208,0,370
Fayette,Harps Crossing,U.S. Senate,,REP,Herschel Walker,26,165,382,1,574
Fayette,Willow Pond,U.S. Senate,,REP,Herschel Walker,34,295,458,2,789
Fayette,Dogwood,U.S. Senate,,REP,Herschel Walker,37,542,624,0,1203
Fayette,Oak Ridge,U.S. Senate,,REP,Herschel Walker,25,158,279,0,462
Fayette,Jeff Davis,U.S. Senate,,REP,Herschel Walker,39,152,191,0,382
Fayette,Murphy,U.S. Senate,,REP,Herschel Walker,46,303,491,1,841
Fayette,Fielding Ridge,U.S. Senate,,REP,Herschel Walker,33,448,737,2,1220
Fayette,Willowbend,U.S. Senate,,REP,Herschel Walker,21,239,406,0,666
Fayette,Camp Creek,U.S. Senate,,REP,Herschel Walker,22,300,397,1,720
Fayette,Rising Star,U.S. Senate,,REP,Herschel Walker,44,584,858,0,1486
Fayette,Spring Hill,U.S. Senate,,REP,Herschel Walker,37,270,334,0,641
Fayette,Antioch,U.S. Senate,,REP,Herschel Walker,19,140,449,0,608
Fayette,Blackrock,U.S. Senate,,DEM,Raphael Warnock,87,689,422,1,1199
Fayette,Brooks,U.S. Senate,,DEM,Raphael Warnock,30,91,137,0,258
Fayette,Europe,U.S. Senate,,DEM,Raphael Warnock,122,1097,667,2,1888
Fayette,Fayetteville East,U.S. Senate,,DEM,Raphael Warnock,46,387,244,0,677
Fayette,Fayetteville West,U.S. Senate,,DEM,Raphael Warnock,60,388,273,0,721
Fayette,Flint,U.S. Senate,,DEM,Raphael Warnock,21,368,295,0,684
Fayette,Hopeful,U.S. Senate,,DEM,Raphael Warnock,63,478,364,0,905
Fayette,Morning Creek,U.S. Senate,,DEM,Raphael Warnock,90,590,462,1,1143
Fayette,Rareover,U.S. Senate,,DEM,Raphael Warnock,15,450,223,0,688
Fayette,Sandy Creek,U.S. Senate,,DEM,Raphael Warnock,91,1194,593,0,1878
Fayette,Shakerag East,U.S. Senate,,DEM,Raphael Warnock,25,147,211,0,383
Fayette,Shakerag West,U.S. Senate,,DEM,Raphael Warnock,15,162,116,0,293
Fayette,Starrs Mill,U.S. Senate,,DEM,Raphael Warnock,40,278,247,0,565
Fayette,Whitewater,U.S. Senate,,DEM,Raphael Warnock,41,432,309,1,783
Fayette,Woolsey,U.S. Senate,,DEM,Raphael Warnock,30,161,199,1,391
Fayette,McIntosh,U.S. Senate,,DEM,Raphael Warnock,62,388,301,0,751
Fayette,Oak Grove,U.S. Senate,,DEM,Raphael Warnock,16,122,206,0,344
Fayette,Kedron,U.S. Senate,,DEM,Raphael Warnock,99,821,583,2,1505
Fayette,Aberdeen,U.S. Senate,,DEM,Raphael Warnock,16,165,182,0,363
Fayette,Windgate,U.S. Senate,,DEM,Raphael Warnock,16,86,126,0,228
Fayette,Flat Creek,U.S. Senate,,DEM,Raphael Warnock,34,223,216,0,473
Fayette,Braelinn,U.S. Senate,,DEM,Raphael Warnock,8,118,177,0,303
Fayette,Kenwood,U.S. Senate,,DEM,Raphael Warnock,27,226,240,0,493
Fayette,Banks,U.S. Senate,,DEM,Raphael Warnock,31,246,254,0,531
Fayette,Harps Crossing,U.S. Senate,,DEM,Raphael Warnock,23,233,220,0,476
Fayette,Willow Pond,U.S. Senate,,DEM,Raphael Warnock,70,521,420,0,1011
Fayette,Dogwood,U.S. Senate,,DEM,Raphael Warnock,61,507,306,0,874
Fayette,Oak Ridge,U.S. Senate,,DEM,Raphael Warnock,67,430,350,0,847
Fayette,Jeff Davis,U.S. Senate,,DEM,Raphael Warnock,61,539,359,0,959
Fayette,Murphy,U.S. Senate,,DEM,Raphael Warnock,67,529,413,0,1009
Fayette,Fielding Ridge,U.S. Senate,,DEM,Raphael Warnock,48,414,355,2,819
Fayette,Willowbend,U.S. Senate,,DEM,Raphael Warnock,24,227,181,0,432
Fayette,Camp Creek,U.S. Senate,,DEM,Raphael Warnock,30,175,182,0,387
Fayette,Rising Star,U.S. Senate,,DEM,Raphael Warnock,49,375,307,1,732
Fayette,Spring Hill,U.S. Senate,,DEM,Raphael Warnock,72,689,387,0,1148
Fayette,Antioch,U.S. Senate,,DEM,Raphael Warnock,29,177,237,0,443